epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1502.57,1.03603,0.76164,1.05367,0.96325,0.92521,0.95533,0.76143,0.8553,0.52691,0.98608,0.0085744,0.0085744,0.0085744
146,1513.86,1.00013,0.75354,1.06477,0.97739,0.89773,0.94506,0.78002,0.77492,0.52977,0.95974,0.0085645,0.0085645,0.0085645
147,1524.09,1.01965,0.76566,1.06483,0.92266,0.83528,0.93946,0.77469,0.79539,0.51638,0.98009,0.0085546,0.0085546,0.0085546
148,1533.86,1.03017,0.76963,1.0616,0.96683,0.88454,0.94992,0.76064,0.79247,0.5105,0.96274,0.0085447,0.0085447,0.0085447
149,1545.24,1.01844,0.76786,1.06267,0.88654,0.82442,0.9217,0.76552,0.7475,0.54629,0.95099,0.0085348,0.0085348,0.0085348
150,1554.8,1.02007,0.76549,1.06718,0.96695,0.82079,0.93569,0.78539,0.73473,0.47568,0.93415,0.0085249,0.0085249,0.0085249
151,1565,1.00744,0.75357,1.05585,0.94857,0.84278,0.95034,0.79139,0.75874,0.51609,0.93636,0.008515,0.008515,0.008515
152,1576.21,1.02681,0.77166,1.06114,0.93616,0.91841,0.95253,0.78694,0.76744,0.51969,0.94506,0.0085051,0.0085051,0.0085051
153,1585.44,1.01677,0.75223,1.05137,0.84531,0.92361,0.93244,0.75804,0.79337,0.54613,0.95618,0.0084952,0.0084952,0.0084952
154,1596.31,1.0139,0.74901,1.0573,0.90416,0.81843,0.92846,0.74628,0.78827,0.57323,0.97236,0.0084853,0.0084853,0.0084853
155,1607.58,1.01474,0.75647,1.05558,0.94584,0.89263,0.96067,0.76127,0.78127,0.5089,0.95652,0.0084754,0.0084754,0.0084754
156,1616.47,1.0308,0.77339,1.05561,0.89647,0.85331,0.93018,0.77739,0.74423,0.52893,0.94225,0.0084655,0.0084655,0.0084655
157,1627.43,1.02954,0.73998,1.0587,0.88446,0.88434,0.94734,0.74277,0.77488,0.55879,0.95095,0.0084556,0.0084556,0.0084556
